State of Oregon Department of Environmental Quality,,,,,,,,,,
"Underground Storage Tank Facility List as of July 1, 2024",,,,,,,,,,
"Sorted by Zip Code, then by Facility Name",,,,,,,,,,
ID,FACILITY NAME,ADDRESS,CITY,ZIP,PHONE ,PERMITTEE,"#
ALL
Tank","#
ACTIVETANK","#
DECOMM
Tank","#
PERMITTank"
7195,"TOP-O-HILL RESTAURANT, INC.",25496 S HWY 99 E,AURORA,97002,(503)266-3364,"JOE CORNETT, PRESIDENT",1,,1,
9575,"WALLY FARMS, INC.",12834 EHLEN RD NE,AURORA,97002,(503) 678-5532,"WALTER POHLSCHNEIDER, FARMER",2,,2,
8995,"WIDING, DONALD & SHIRLEY",25434 NE BUTTEVILLE RD,AURORA,97002,(503) 682-1592,"DONALD & SHIRLEY WIDING, OWNERS",1,,1,
5512,BEAVERCREEK COOPERATIVE TELEPHONE CO,16680 SPANGLER RD,BEAVER CREEK,97004,(503) 632-3113,BEAVERCREEK COOPERATIVE TELEPHONE CO,3,,3,
2713,BEAVERCREEK RURAL FIRE DISTRICT NO. 55,22024 S BEAVERCREEK RD,BEAVER CREEK,97004,(503)632-3232,"ROBERT WINKEL, FIRE CHIEF",3,,3,
9063,CLARKES RFPD #68,25675 S BEAVERCREEK RD,BEAVER CREEK,97004,(503)632-7111,"J. NEWELL WEATHERLY, CHIEF",2,,2,
3117,"FEB, HAROLD W",21181 S FERGUSON RD,BEAVER CREEK,97004,(503) 632-3456,HAROLD W FEB,1,,1,
11573,"HASCO STATIONS, LLC #8068",22025 S BEAVERCREEK RD,BEAVERCREEK,97004,714-761-5426,Salaheddin Hassan,3,3,,3
10318,KAUFMAN MERCANTILE,21995 S BEAVERCREEK RD,BEAVER CREEK,97004,(503) 654-7878,DARLENE PYLE - BROKER,3,,3,
2852,"KLEIN, HARRY",25172 S LARKIN RD,BEAVER CREEK,97004,(503)632-3418,"HARRY KLEIN, OWNER",1,,1,
669,MAVERICKS COUNTRY STORE,25760 S BEAVERCREEK RD,BEAVER CREEK,97004,(503) 632-3068,"CLARENCE W ELLIOTT, OWNER",2,,2,
12229,NORMAN & VALERIA PRYOR,22411 S FERGUSON RD,BEAVERCREEK,97004,(503) 632-3434,VALERIA PRYOR,2,,2,
12428,PACIFIC LUTHERAN UNIVERSITY,22086 S LEWELLEN RD,BEAVERCREEK,97004,(253) 535-7121,SUSAN LIDEN,1,,1,
7237,"SKOU, LAWRENCE R.",22055 S BEAVERCREEK RD,BEAVER CREEK,97004,(503)632-3054,LAWRENCE R. SKOU,2,,2,
1272,"WIEGELE, JACK J",25620 S BEAVERCREEK RD,BEAVER CREEK,97004,(503) 632-3064,JACK J. WIEGELE,2,,2,
7040,ALL TRANSMISSION SERVICE CO,3390 SW CEDAR HILLS BLVD,BEAVERTON,97005,(503)646-1742,"LARRY HELM, OWNER",1,,1,
8740,ARCO 5382,11925 SW ALLEN BLVD,BEAVERTON,97005,(360) 970-2296,Kimberly Medicus,7,3,4,3
3917,ARCO 7207,10975 SW BEAVERTON HILLSDALE HWY,BEAVERTON,97005,360 970-2296,Kimberly Medicus,8,4,4,4
12645,BEAVERTON 2002 LLC,12990 SW CANYON RD,BEAVERTON,97005,503-939-5441,JAMES MCCARTER,5,,5,
1581,BEAVERTON AUTO WRECKING INC,4350 SW 142ND,BEAVERTON,97005,(503) 644-3121,"C. CARR, PRESIDENT",1,,1,
11153,BEAVERTON CFN,4905 SW WESTERN AVE,BEAVERTON,97005,(503) 224-8500,Marti Sharp-Sommer,4,3,1,3
1837,"BEAVERTON CHRYSLER PLYMOUTH, INC.",10760 SW CANYON RD,BEAVERTON,97005,(503)646-0516,"PHIL CUSICK, SERVICE DIRECTOR",1,,1,
1960,BEAVERTON HIGH SCHOOL,13000 SW 2ND ST,BEAVERTON,97005,(971) 330-5014,Kathryn Ewing,2,,1,1
4018,BEAVERTON HYUNDAI,13255 SW FARMINGTON RD,BEAVERTON,97005,(503) 643-6677,"ROBERT ROBBINS, SERVICE MANAGER",1,,1,
3216,BEAVERTON NISSAN,3855 SW CEDAR HILLS BLVD,BEAVERTON,97005,(503)643-8676,"LARRY DUBOIS, GENERAL MANAGER",22,,22,
10664,BEAVERTON PACIFIC PRIDE,13275 SW HENRY ST,BEAVERTON,97005,(253) 867-3281,Selim Abounader,5,4,1,4
4504,"BEAVERTON TOYOTA CO., INC.",4300 SW MURRAY RD,BEAVERTON,97005,(503)626-7200,"BEAVERTON TOYOTA CO., SERVICE MANAGER",2,,2,
1316,"BEAVERTON, CITY OF",4950 SW HALL BLVD,BEAVERTON,97005,(503) 644-2191,JOHN ATKINS JR.,2,,2,
814,"BEAVERTON, STATE POLICE",11240 SW ALLEN BLVD,BEAVERTON,97005,(503) 643-4702,"SERGEANT M. THOMAS, SGT. STATE POLICE",1,,1,
4771,BUDGET RENT-A-CAR OF WA/OR INC,10835 SW CANYON RD,BEAVERTON,97005,(503) 626-3040,"PETER TAGGART, MANAGER",2,,2,
1961,C E MASON-CABINET SHOP,11375 SW CENTER,BEAVERTON,97005,(503)649-0412,"DON BOYD, CABINET SHOP FOREMAN",1,,1,
67,CARR CHEVROLET CO INC,11635 SW CANYON RD,BEAVERTON,97005,(503)644-2161,"ROBERT CARL, MANAGER",3,,3,
9286,CARSON OIL COMPANY,3790 SW 114TH,BEAVERTON,97005,(503) 224-8500,"SANDRA GAYLORD, OPERATIONS COORDINATOR",5,,5,
1902,CEDAR HILLS BLVD CHEVRON,3520 SW CEDAR HILLS BLVD,BEAVERTON,97005,,,5,3,2,3
501,CHEVRON STATION# 307797,11520 SW CANYON RD,BEAVERTON,97005,(925) 766-6939,Ferardo Acuna,12,4,8,4
10333,CHEVRON USA INC #200496,11015 SW CANYON RD,BEAVERTON,97005,(925) 766-6939,Gerardo Acuna,3,3,,3
11545,COLUMBIA CABLE,14200 SW BRIDADOON CT,BEAVERTON,97005,(503)644-3188,KENT LANG,1,,,
4596,"D & B TIRE, INC.",12100 SW BROADWAY,BEAVERTON,97005,(503) 646-8133,"DENNY M. JONES, PRESIDENT",1,,1,
1574,DAMEROW FORD,12325 SW CANYON RD,BEAVERTON,97005,(503)644-1131,GEORGE R. FRANCIS,2,,2,
3487,DAMEROW FORD SERVICE,4070 SW HALL,BEAVERTON,97005,(503)644-1131,GEORGE R. FRANCIS,1,,1,
2152,DIAMOND FUEL CO,FARMINGTON RD & HOCKEN AVE,BEAVERTON,97005,(503),"JIM H COON, SECRETARY",2,,,
4501,FAMILIAN NW,13625 SW FARMINGTON RD,BEAVERTON,97005,(503)644-3146,,1,,1,
3228,FANNO CREEK,11000 SW DENNY RD,BEAVERTON,97005,(503)648-8621,"GARY F. KRAHMER, GENERAL MANAGER",1,,1,
10930,FAR WEST INVESTMENT CO,12475 SW CANYON RD,BEAVERTON,97005,(503)2972500,,6,,6,
4295,FARMINGTON TIRE & AUTOMOTIVE,13660 SW FARMINGTON RD,BEAVERTON,97005,(503) 526-8676,"WALLY MAHMOOD,OWNERS",6,,6,
3867,FATHER AND SON SHELL,10155 SW CANYON,BEAVERTON,97005,(503)643-3040,"ANTONI BOLEK, OWNER",6,,4,
3682,FIRESTONE #4891-013854,13025 SW CANYON RD,BEAVERTON,97005,(503) 646-0681,"EUGENE ENGELHARD, MANAGER",1,,1,
6227,FRED MEYER - A-1 OIL COMPANY,10190 SW BEAVERTON-HILLSDALE HWY,BEAVERTON,97005,(503)287-1296,ED VERDURMAN,3,,3,
6243,FRED MEYER - BEAVERTON,11425 SW BEAVERTON HILLSDALE HWY,BEAVERTON,97005,(503) 797-3512,Daniel Hermann,2,,2,
7545,FRED MEYER FUEL #35,11360 SW CANYON RD,BEAVERTON,97005,(503)  797-3512,Daniel Hermann,7,3,4,3
6806,GI JOE'S,3485 SW CEDAR HILLS BLVD,BEAVERTON,97005,(503)682-2242,"MARY ANN MENCARI, MANAGER",1,,,
5391,"GOODALE TRANSMISSION, DBA-AAMCO",13525 SW FARMINGTON RD,BEAVERTON,97005,(503) 646-8148,"WILLIAM J. RICHMOND, PRESIDENT",2,,2,
2647,"GRIFFITH ROOFING CO, INC. HELEN GRIFFITH",6815 SW 111TH AVE,BEAVERTON,97005,(503) 643-1596,"DAVID R COTA, MANAGER",4,,4,
5627,GTE - SOUTHERN HEADQUARTERS(0300-X02),17855 NW CORNELL RD,BEAVERTON,97005,(206)258-0302,DONALD S KINDLE,1,,1,
5625,GTE -KOLL BUSINESS CENTER RSU (5371-B01),7605 SW HALL BLVD,BEAVERTON,97005,(206)258-0302,DONALD S. KINDLE,1,,1,
6586,HARRIS ENTERPRISES INC,2495 SW CEDAR HILLS BLVD,BEAVERTON,97005,(503)222-4201,"STEVEN L HARRIS, TECHNICAL REP",4,,4,
1801,HAZELDALE STORE,20955 SW FARMINGTON RD,BEAVERTON,97005,(503) 649-4964,"KENNETH NORMAN, OWNER OPERATOR",6,,6,
328,HERZOG MOTORS INC,4275 SW 139TH WAY,BEAVERTON,97005,(503) 644-9121,"DOUGLAS THOMPSON, SERVICE DIRECTOR",6,,6,
330,HERZOG MOTORS-YUGO SERVICE,3950 SW 141ST,BEAVERTON,97005,(503) 644-9121,"DOUGLAS THOMPSON, SERVICE DIRECTOR",1,,1,
1233,"HIGHLAND FOOD MKT, INC.",14470 SW ALLEN BLVD,BEAVERTON,97005,(503) 693-0462,R.J. Barman,12,4,8,4
10594,HOLLMAN INC - THE EQUITY GROUP,11200 SW ALLEN BLVD,BEAVERTON,97005,(503)224-2944,"JOE HOLLMAN, OWNER",1,,1,
1649,"HONDA OF BEAVERTON, ROBERT D LANPHERE",12425 SW BROADWAY,BEAVERTON,97005,(503) 643-5577,"PHIL CUSICK, SERVICE DIRECTOR",3,,3,
11870,HYLAND HILLS REHABILITATION CENTER,11850 SW ALLEN BLVD,BEAVERTON,97005,(503),,1,,,
1382,JACKSONS FOOD STORES #517,11850 SW CANYON RD,BEAVERTON,97005,(208) 955-6282,Andrew Marvin,5,4,1,4
7164,JIFFY LUBE #1015,13325 SW CANYON RD,BEAVERTON,97005,(503)643-1712,"TOM ELWOOD, MANAGER",4,,4,
9348,KAADY CAR WASHES,10270 SW CANYON,BEAVERTON,97005,(503) 644-3993,,3,,3,
7621,KUNI COLLISION CENTER,3725 SW CEDAR HILLS BLVD,BEAVERTON,97005,(503) 372-7429,Ian Peterson,7,,7,
12300,LANPHERE ENTERPRISES,12520 SW CANYON RD,BEAVERTON,97005,(503) 526-2103,ROBERT WALTHER,2,,2,
9960,LOW PRICED USED CARS,4405 SW HOCKEN AVE,BEAVERTON,97005,(503) 643-5577,"CHARLES G SZEDLAK, CONTROLLER",1,,1,
9701,LOY CLARK PIPELINE,3905 SW 141ST,BEAVERTON,97005,(503) 644-2137,RONALD CLARK,3,,,
4001,"MALETIS, INC.",5580 SW 107TH AVE,BEAVERTON,97005,(503)227-6506,"BRENT C. GREEN, PROCUREMENT MANAGER",3,,3,
10866,"MCPEAK, JIM",3775 SW 141ST AVE,BEAVERTON,97005,(503)656-5506,RONALD CLARK,3,,3,
4985,"MERCEER INDUSTRIES, INC.",10160 SW DENNEY RD,BEAVERTON,97005,(503) 226-2511,"JOERN WIESE, SUPERINTENDENT",2,,2,
10676,METRO TIRE & AUTO REPAIR,6600 SW SCHOLLS FERRY RD,BEAVERTON,97005,(503)244-1437,CARL CADONAU,3,,3,
3057,MILLER SANITARY SERVICE INC,5150 SW ALGER AVE,BEAVERTON,97005,(503)644-6161,"THOMAS C MILLER, PRESIDENT",3,,3,
12705,MODERA RALEIGH,4810 SW WESTERN AVE,BEAVERTON,97005,(719) 660-8896,BRENDON SEARLE,1,,1,
6834,MONTGOMERY WARD,4401 SW 110TH AVE,BEAVERTON,97005,(503)646-7264,"VIRGIL WRIDGE, AUTO CENTER MANAGER",1,,1,
8275,NICK'S FAMILY AUTO SERVICE,4655 SW HALL BLVD,BEAVERTON,97005,(503) 644-7963,AMY SABENYAN,4,,4,
12548,NIKE WHQ - BUILDING 2,1 BOWERMAN DRIVE,BEAVERTON,97005,(971) 317-6173,NATE REFF,1,,,
9497,NORTHWEST JEEP EAGLE,10600 SW CANYON RD,BEAVERTON,97005,(503) 646-5111,"BOB MCGRAIN, PRES",2,,2,
12559,OLD BUGATTI'S SITE,2905 SW CEDAR HILLS BLVD,BEAVERTON,97005,(360) 696-0837,SETH GAREY,1,,1,
451,OROWEAT FOODS COMPANY,10750 SW 5TH ST,BEAVERTON,97005,(503)643-5541,"GEORGE HINER, OPERATIONS MANAGER",3,,3,
3303,PACIFIC LUMBER CO,10515 SW ALLEN Blvd,BEAVERTON,97005,503-858-9663,Tony Sollman,2,1,1,1
9129,PACIFIC PRIDE,12700 SW CANYON RD,BEAVERTON,97005,(503) 234-0611,"LLOYD MEISEN III,",4,,4,
900,PACIFIC PRIDE - BEAVERTON,6800 SW 110TH AVE,BEAVERTON,97005,503-283-1111,Derek Malsam,8,4,4,4
9877,"PANOCO, INC",3570 SW CEDAR HILLS BLVD,BEAVERTON,97005,(503) 286-9621,"MICHAEL BETTS, ADMIN. MGR.",3,,3,
7698,"PARKER FURNITURE, INC.",10375 SW BEAVERTON HWY,BEAVERTON,97005,(503) 644-0155,"L. PARKER, PRESIDENT",1,,1,
4408,"PLATT ELECTRIC SUPPLY, INC",10605 SW ALLEN BLVD,BEAVERTON,97005,(503)641-6121,,1,,1,
4652,PROGRESS DOWNS GOLF,8200 SW SCHOLLS FERRY RD,BEAVERTON,97005,(503) 646-5166,MICHAEL SHERWOOD,2,,1,
8438,QUAKER STATE MINIT-LUBE #1095,11150 BEAVERTON-HILLSDALE HWY,BEAVERTON,97005,(503)626-3536,"BOB HEALY, FRANCHISEE",4,,4,
9486,RANDALL EXECUTIVE PLAZA,8196 SW HALL BLVD,BEAVERTON,97005,(503)245-1131,,1,,1,
7410,RASMUSSEN & CO.,12655 SW BEAVERDAM RD,BEAVERTON,97005,(503) 644-9137,CHRIS RASMUSSEN,3,,3,
1036,RELIANCE OIL LLC (76 OF BEAVERTON),11400 SW BEAVERTON-HILLSDALE HWY,BEAVERTON,97005,(503) 639-5800,Rohit Sharma,9,2,7,2
2714,RESERS FINE FOODS INC,11150 SW ALLEN BLVD,BEAVERTON,97005,(503)643-6431,D G VANDEHEY,2,,2,
1046,"RS PETROLEUM, LLC",12075 SW CANYON RD,BEAVERTON,97005,(503) 475-0355,Rohit Sharma,5,2,3,2
6751,SATURN OF BEAVERTON,4250 SW 139TH WAY,BEAVERTON,97005,(503) 644-4600,"RUSS HUMBERSTON, JR.",6,,6,
12464,SAVAGE WHOLESALE,5355 SW 107TH AVE,BEAVERTON,97005,(253) 722-5765,ANDREW MCDONALD,1,,1,
7542,"SHELL OIL PRODUCTS, US",14495 SW TUALATIN VALLEY HWY,BEAVERTON,97005,(503)646-5723,JERRY MCFADDEN,12,,12,
7539,SHELL STATION #55,6660 SW SCHOLLS FERRY RD,BEAVERTON,97005,(503)246-5187,"TOM DOLL, DEALER",4,,4,
3355,SNEED'S RENTAL NEEDS,14105 SW TUALATIN VALLEY HWY,BEAVERTON,97005,(503) 643-9641,"ED ENGEN, MANAGER",3,,3,
7620,STANDARD CENTER,13227 SW CANYON RD,BEAVERTON,97005,(503) 245-1976,,3,,3,
3210,SUNSET IMPORTS,4050 SW 139TH WAY,BEAVERTON,97005,(503)641-8600,"JEROME J. JUNK, SERVICE MANAGER",5,,5,
7866,THE DELI STATION,11975 SW ALLEN BLVD,BEAVERTON,97005,(503) 641-3699,"COOPER OR STEPHENSON, OWNERS",4,,4,
9653,TIME OIL CO,12130 SW BROADWAY ST,BEAVERTON,97005,(503) 285-2400,JOSEPH SANZO,1,,1,
3994,TOURANGEAU NORWES CORP.,11040 SW ALLEN BLVD,BEAVERTON,97005,(503)644-2010,"DONALD R. TOURANGEAU, PRESIDENT",1,,1,
1964,TRANSPORTATION CENTER,10420 SW ALLEN BLVD,BEAVERTON,97005,(503)649-0362,"LARRY JACOBSEN, SUPV. TRANSPORTATION",6,,6,
729,TRIPLE SEVEN STATION LLC,12975 SW CANYON RD,BEAVERTON,97005,(503) 989-6884,Negin Tajgerdu,12,3,9,3
8119,TUALATIN VALLEY FIRE & RESCUE 255,11480 SW BARNES RD,BEAVERTON,97005,(503)649-8577,"GARY WELLS, DIRECTOR OF SUPPORT SERVICES",2,,2,
4447,U-HAUL CENTER BEAVERTON,14225 SW TUALATIN VALLEY HWY,BEAVERTON,97005,(503) 774-3203,"DERALL R SIMONIS, MARKETING AREA VP",4,,4,
732,UNITED PACIFIC  #5452,2420 SW CEDAR HILLS BLVD,BEAVERTON,97005,(925) 884-0800,Michael Sanchez,10,3,7,3
7421,USPS,4550 SW BETTS AVE,BEAVERTON,97005,(503)646-3196,"K.C. JOHSON, POSTMASTER",1,,1,
15,VALLEY GARBAGE SERVICE,11290 SW MCBRIDE PL,BEAVERTON,97005,(503)643-7063,"GEORGE OR RON HOHNSTEIN, PARTNERS",3,,3,
5420,"VANDERZEE, RUDY","ROUTE 5, BOX 204",BEAVERTON,97005,(503),RUDY VANDERZRE,2,,2,
4390,WAKER ASSOCIATES INC,11080 SW ALLEN BLVD,BEAVERTON,97005,(503)643-9410,"RICHARD C WAKER, PRESIDENT",2,,2,
8120,WASHINGTON COUNTY FIRE STATION 254,14480 SW JENKINS RD,BEAVERTON,97005,(503)649-8577,"GARY WELLS, DIRECTOR OF SUPPORT SERVICES",2,,2,
11237,WEIL ENTERPRISES,10975 SW CANYON RD,BEAVERTON,97005,(503)297-4384,"DANA HUNT, PARTNER",5,,5,
16,WEST BEAVERTON SANITARY SERVICE,5320 SW ALGER AVE,BEAVERTON,97005,(503)645-2140,"DAVID TONGES, OPERATION MANAGER",2,,2,
5180,WEYERHAEUSER BEAVERTON CORRUGATED,"5500, 5570, & 5800 SW WESTERN AVE",BEAVERTON,97005,(503)641-1131,DAVID DICKEY,4,,4,
2983,WEYERHAEUSER COMPANY,5350 SW 107TH AVE,BEAVERTON,97005,(503)646-0611,"GREG JOLLY, BRANCH MANAGER",1,,1,
3164,WEYERHAEUSER SECONDARY FIBER,5505 SW WESTERN AVE,BEAVERTON,97005,(503) 834-2000,FACILITY CLOSED & FOR SALE,2,,2,
6454,WILLAMETTE IND - BEAVERTON BAG PLANT,5800 SW WESTERN AVE,BEAVERTON,97005,(503) 641-4455,"RON SMITH, TRANSPORTATION MANAGER",1,,1,
7934,WILLAMETTE IND - FORMS DIVISION,5570 SW WESTERN AVE,BEAVERTON,97005,(503)641-8700,"JAMES FINK, SAFETY DIRECTOR",1,,1,
4455,WILLAMETTE INDUSTRIES INC - SPECIAL PRO,"5500, 5570, & 5800 SW WESTERN AVE",BEAVERTON,97005,(503)641-4455 X210,"CAROL WAY, CHEMIST",1,,1,
5662,ZIPLY BEAVERTON CENTRAL OFFICE 5330,4155 SW CEDAR HILLS BLVD,BEAVERTON,97005,(425) 739-1374,Seth Davis,3,1,2,1
10740,7-ELEVEN #35335,75 NW 158TH AVE,BEAVERTON,97006,(214) 415-0146,Marc Westfall,3,3,,3
9894,A M JANNSEN WELL DRILLING CO INC,21075 SW TUALATIN VALLEY HWY,ALOHA,97006,(503)649-5626,"EDWARD M JANNSEN, OWNER",2,,2,
1633,ALLIED MECH CONTR LTD,3506 SW 209TH,BEAVERTON,97006,(503)649-7557,"D R JOHANNES, PRESIDENT",1,,1,
1899,ALOHA CHEVRON,18560 SW TUALATIN VALLEY HWY,ALOHA,97006,(503) 539-4944,Mike Ferren,9,4,5,4
3979,ARCO 4461,14555 SW TUALATIN VALLEY HWY,BEAVERTON,97006,(360) 970-2296,Kimberly Medicus,8,,8,
3916,ARCO 6501,15320 NW CORNELL RD,BEAVERTON,97006,(360) 970-2296,Kimberly Medicus,8,4,4,4
11761,ARYA GAS & WASH,2115 NW TOWN CENTER DR,BEAVERTON,97006,(503) 533-5202,Reza Abedini,3,3,,3
5352,BEAVERTON PACKAGING,1255 SW BURLINGTON DR,BEAVERTON,97006,(503)641-9220,"ALLAN JOHNSON, PLANT MANAGER",2,,2,
8818,BIPOLAR INTEGRATED TECHNOLOGY,1050 NW COMPTON DR,BEAVERTON,97006,5036295490,"KEN GILES, CFO",1,,1,
3385,BOISE CASCADE BUILDING MATERIALS CENTER,17005 NW CORNELL RD,BEAVERTON,97006,(503) 645-1161,"BOB WALKER, MANAGER",3,,3,
7268,BUILDING D-3,1400 NW COMPTON DR,BEAVERTON,97006,(503)690-1100,"DAVE PENNINGTON, FACILITIES MANAGER",2,,2,
1350,CAIN'S SPARKLE WASH,19165 SW TUALATIN VALLEY HWY,ALOHA,97006,(503) 546-3535,Ronald G. Cain,8,4,4,4
12417,COSTCO GASOLINE #9,15901 SW JENKINS RD,ALOHA,97006,(425) 313-8100,Dwight Larsen,4,4,,4
9593,"DINIHANIAN, VAHAN M",15005 NW CORNELL RD,BEAVERTON,97006,(503)645-1546,,2,,2,
12169,FRED MEYER FUEL STOP #482,15995 SW WALKER RD,BEAVERTON,97006,(503) 797-3512,DANIEL HERMANN,3,3,,3
5715,FRONTIER ALOHA SUPPORT CENTER 5640,16870 SW MERLO RD,BEAVERTON,97006,(916) 714-4295,Trina Smith,3,,3,
9329,"GRANUM, OSCAR & HAZEL",21435 SW TUALATIN VALLEY HWY,ALOHA,97006,(503) 649-6039,"HAZEL GRANUM, OWNER",3,,3,
9086,HARVEY MARINE,21250 SW TUALATIN VALLEY HWY,ALOHA,97006,(503) 649-5551,"VICTORIA MCCURRY, VP",1,,,
7166,JACKSON FOOD STORES #555,17455 SW TUALATIN VALLEY HWY,ALOHA,97006,(208) 888-6061,Richard Wright,8,,8,
