ProgramEnforcementNumber,RegulatoryProgramIdentifier,Region,Facility,Facility_ID,Address,ProgramID,Enforcement_Type,PenaltyAmount,ViolationId,DEQViolationClassCode,ViolationReference,ViolationDetailDescription,ViolationDetailTypeName,InspectionStartDate,EnforcementIssueDate,ClosedDate
2020-FC-5923,UndergroundStorageTanks,WR,"OPERATIONS-MORSE BROS., INC.",2664,"32260 HWY 34 TANGENT, OR 97389",22-2664-2024-OPER,Field Citation,300,12353,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,10/8/20,12/1/20,1/1/21
2020-FC-5924,UndergroundStorageTanks,NWR,DEER ISLAND STORE,9895,"64561 COLUMBIA RIVER HWY DEER ISLAND, OR 97054",5-9895-2024-OPER,Field Citation,600,12472,II,340-150-0310(2),"Failure to maintain operational overfill prevention equipment.  Failure to repair or replace overfill equipment that is defective, improperly installed, damaged or may have been tampered with in a manner that prevents proper operation.",(C2b) Spill and Overfill Prevention - TCR,10/23/20,12/1/20,1/5/21
2020-FC-5924,UndergroundStorageTanks,NWR,DEER ISLAND STORE,9895,"64561 COLUMBIA RIVER HWY DEER ISLAND, OR 97054",5-9895-2024-OPER,Field Citation,600,12473,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/23/20,12/1/20,1/5/21
2020-FC-5924,UndergroundStorageTanks,NWR,DEER ISLAND STORE,9895,"64561 COLUMBIA RIVER HWY DEER ISLAND, OR 97054",5-9895-2024-OPER,Field Citation,600,12474,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/23/20,12/1/20,1/5/21
2020-FC-5926,UndergroundStorageTanks,NWR,CANBY FOOD MARKET,1207,"293 SW 1ST AVE CANBY, OR 97013",3-1207-2024-OPER,Field Citation,525,12479,I,340-150-0310(11)(a),Failure to maintain records of spill or overfill equipment inspections/test for 3 years.,(C3a) Spill and Overfill Prevention-TCR,10/23/20,12/1/20,2/23/21
2020-FC-5926,UndergroundStorageTanks,NWR,CANBY FOOD MARKET,1207,"293 SW 1ST AVE CANBY, OR 97013",3-1207-2024-OPER,Field Citation,525,12480,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/23/20,12/1/20,2/23/21
2020-FC-5946,UndergroundStorageTanks,WR,EOLA SERVICE STATION,7664,"5082 SALEM-DALLAS HWY NW SALEM, OR 97304",27-7664-2024-OPER,Field Citation,300,12503,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,10/23/20,12/7/20,1/12/21
2020-FC-5947,UndergroundStorageTanks,WR,"WOODBURN, CITY OF - WASTE WATER PUMP STA",1927,"140 Molalla Highway WOODBURN, OR 97071",24-1927-2021-OPER,Field Citation,700,12504,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,10/23/20,12/7/20,1/11/21
2020-FC-5947,UndergroundStorageTanks,WR,"WOODBURN, CITY OF - WASTE WATER PUMP STA",1927,"140 Molalla Highway WOODBURN, OR 97071",24-1927-2021-OPER,Field Citation,700,12505,I,340-150-0310(11)(a),Failure to maintain records of spill or overfill equipment inspections/test for 3 years.,(C3a) Spill and Overfill Prevention-TCR,10/23/20,12/7/20,1/11/21
2020-FC-5947,UndergroundStorageTanks,WR,"WOODBURN, CITY OF - WASTE WATER PUMP STA",1927,"140 Molalla Highway WOODBURN, OR 97071",24-1927-2021-OPER,Field Citation,700,12506,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,10/23/20,12/7/20,1/11/21
2020-FC-5947,UndergroundStorageTanks,WR,"WOODBURN, CITY OF - WASTE WATER PUMP STA",1927,"140 Molalla Highway WOODBURN, OR 97071",24-1927-2021-OPER,Field Citation,700,12507,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/23/20,12/7/20,1/11/21
2020-FC-5948,UndergroundStorageTanks,ALL,DOUGLAS ELECTRIC SHOP - DRAIN,6704,"701 DIVISION ST DRAIN, OR 97435",10-6704-2024-OPER,Field Citation,850,12508,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/8/20,12/7/20,3/1/21
2020-FC-5948,UndergroundStorageTanks,ALL,DOUGLAS ELECTRIC SHOP - DRAIN,6704,"701 DIVISION ST DRAIN, OR 97435",10-6704-2024-OPER,Field Citation,850,12509,II,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,10/8/20,12/7/20,3/1/21
2020-FC-5948,UndergroundStorageTanks,ALL,DOUGLAS ELECTRIC SHOP - DRAIN,6704,"701 DIVISION ST DRAIN, OR 97435",10-6704-2024-OPER,Field Citation,850,12510,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,10/8/20,12/7/20,3/1/21
2020-FC-5948,UndergroundStorageTanks,ALL,DOUGLAS ELECTRIC SHOP - DRAIN,6704,"701 DIVISION ST DRAIN, OR 97435",10-6704-2024-OPER,Field Citation,850,12511,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,10/8/20,12/7/20,3/1/21
2020-FC-5950,UndergroundStorageTanks,NWR,7-ELEVEN #36773,12447,"11549 NE GLENN WIDING DR PORTLAND, OR 97220-9054",26-12447-2024-OPER,Field Citation,150,12513,II,340-150-0310(3),"Failure to properly operate or maintain spill prevention device.  Failure to prevent a release due to amount of debris, water or other media in bucket/basin",(C1b) Spill and Overfill Prevention – Non TCR,10/23/20,12/7/20,1/11/21
2020-FC-5951,UndergroundStorageTanks,NWR,GATEWAY 76 INC,982,"515 NE 102ND AVE PORTLAND, OR 97220",26-982-2024-OPER,Field Citation,150,12514,I,340-150-0310(11)(a),Failure to maintain records of spill or overfill equipment inspections/test for 3 years.,(C3a) Spill and Overfill Prevention-TCR,10/23/20,12/7/20,2/8/21
2020-FC-5953,UndergroundStorageTanks,WR,DOUGLAS COUNTY SHOP - MYRTLE CREEK #1,6701,"1200 NE PACIFIC HIGHWAY MYRTLE CREEK, OR 97457",10-6701-2024-OPER,Field Citation,200,12516,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/8/20,12/7/20,3/1/21
2020-FC-5953,UndergroundStorageTanks,WR,DOUGLAS COUNTY SHOP - MYRTLE CREEK #1,6701,"1200 NE PACIFIC HIGHWAY MYRTLE CREEK, OR 97457",10-6701-2024-OPER,Field Citation,200,12517,II,340-150-0410(2)(a),Failure to use a line leak detector that is third party approved (e.g. -is listed in the current edition of the “List of Leak Detection Evaluations.”),(H2.8) Release Detection Pressure Piping - Non TCR,10/8/20,12/7/20,3/1/21
2020-FC-5969,UndergroundStorageTanks,WR,ASTRO #234,6225,"171 SW MAIN STREET WINSTON, OR 97496",10-6225-2024-OPER,Field Citation,150,12565,II,340-150-0400(1)(c),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamp",(H2.5) Release Detection Pressure Piping - Non TCR,11/10/20,12/16/20,1/25/21
2020-FC-5972,UndergroundStorageTanks,WR,ASTRO #224,770,"138 HUTCHINS ST SUTHERLIN, OR 97479-9027",10-770-2024-OPER,Field Citation,150,12569,II,340-150-0310(1),"Failure to repair or replace spill prevention device that is not properly maintained, is defective, is damaged or may have been tampered with in a manner that prevents proper operation.",(C1c) Spill and Overfill Prevention - TCR,11/10/20,12/17/20,3/22/21
2020-FC-5977,UndergroundStorageTanks,WR,PIONEER TELEPHONE CO,2139,"1304 MAIN ST PHILOMATH, OR 97370",2-2139-2024-OPER,Field Citation,1000,12354,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,10/8/20,12/17/20,1/11/21
2020-FC-5977,UndergroundStorageTanks,WR,PIONEER TELEPHONE CO,2139,"1304 MAIN ST PHILOMATH, OR 97370",2-2139-2024-OPER,Field Citation,1000,12355,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,10/8/20,12/17/20,1/11/21
2020-FC-5977,UndergroundStorageTanks,WR,PIONEER TELEPHONE CO,2139,"1304 MAIN ST PHILOMATH, OR 97370",2-2139-2024-OPER,Field Citation,1000,12356,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,10/8/20,12/17/20,1/11/21
2020-FC-5977,UndergroundStorageTanks,WR,PIONEER TELEPHONE CO,2139,"1304 MAIN ST PHILOMATH, OR 97370",2-2139-2024-OPER,Field Citation,1000,12357,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/8/20,12/17/20,1/11/21
2020-FC-5977,UndergroundStorageTanks,WR,PIONEER TELEPHONE CO,2139,"1304 MAIN ST PHILOMATH, OR 97370",2-2139-2024-OPER,Field Citation,1000,12574,II,340-150-0315(a)(B),Failure to conduct annual periodic operation and maintenance walkthrough inspection.,(A16) General Permit Requirements,10/8/20,12/17/20,1/11/21
2020-FC-5992,UndergroundStorageTanks,WR,ARCO #7205,12612,"2815 ROOSEVELT BLVD EUGENE, OR 97402",20-12612-2024-OPER,Field Citation,1000,12358,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/8/20,12/22/20,2/12/21
2020-FC-5992,UndergroundStorageTanks,WR,ARCO #7205,12612,"2815 ROOSEVELT BLVD EUGENE, OR 97402",20-12612-2024-OPER,Field Citation,1000,12359,II,304-150-0210(2),Failure to have a trained UST System Operator for an UST facility or to provide emergency response information.,(A5a) General Permit Requirements,10/8/20,12/22/20,2/12/21
2020-FC-5992,UndergroundStorageTanks,WR,ARCO #7205,12612,"2815 ROOSEVELT BLVD EUGENE, OR 97402",20-12612-2024-OPER,Field Citation,1000,12360,I,340-150-0400(1)(a),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(J8.2) Interstitial - TCR,10/8/20,12/22/20,2/12/21
2020-FC-5992,UndergroundStorageTanks,WR,ARCO #7205,12612,"2815 ROOSEVELT BLVD EUGENE, OR 97402",20-12612-2024-OPER,Field Citation,1000,12361,I,340-150-0465(6),Failure to keep the most recent 12 consecutive months of interstitial monitoring records for review and inspection.,(J8.5c) Interstitial - TCR,10/8/20,12/22/20,2/12/21
2020-FC-5992,UndergroundStorageTanks,WR,ARCO #7205,12612,"2815 ROOSEVELT BLVD EUGENE, OR 97402",20-12612-2024-OPER,Field Citation,1000,12619,II,340-150-0150 (1),Failure to post annual operating certificate in a conspicuous location so it could be readily viewed by a fuel distributor.,(A10) General Permit Requirements,10/8/20,12/22/20,2/12/21
2020-FC-5993,UndergroundStorageTanks,WR,FAMILY MART 1,5220,"464 BEAR CREEK RD CURTIN, OR 97428",10-5220-2024-OPER,Field Citation,150,12620,I,340-150-0465(6),Failure to keep the most recent 12 consecutive months of interstitial monitoring records for review and inspection.,(J8.5c) Interstitial - TCR,10/8/20,12/23/20,1/11/21
2020-FC-5993,UndergroundStorageTanks,WR,FAMILY MART 1,5220,"464 BEAR CREEK RD CURTIN, OR 97428",10-5220-2024-OPER,Field Citation,150,12621,II,340-150-0163(1)(f),Failure to report a suspected release.,(L1) Spills and Releases Div 150 - TCR,10/8/20,12/23/20,1/11/21
2020-FC-5994,UndergroundStorageTanks,WR,BRIDGE TOWN MARKET,11925,"105 N. MOSS STREET LOWELL, OR 97452",20-11925-2024-OPER,Field Citation,550,12622,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,10/8/20,12/23/20,1/29/21
2020-FC-5994,UndergroundStorageTanks,WR,BRIDGE TOWN MARKET,11925,"105 N. MOSS STREET LOWELL, OR 97452",20-11925-2024-OPER,Field Citation,550,12623,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,10/8/20,12/23/20,1/29/21
2020-FC-5994,UndergroundStorageTanks,WR,BRIDGE TOWN MARKET,11925,"105 N. MOSS STREET LOWELL, OR 97452",20-11925-2024-OPER,Field Citation,550,12624,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/8/20,12/23/20,1/29/21
2021-FC-6024,UndergroundStorageTanks,WR,LANE TRANSIT DISTRICT,11881,"3500 E 17TH AVE Eugene, OR 97403",20-11881-2024-OPER,Field Citation,700,12688,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,11/10/20,1/9/21,2/1/21
2021-FC-6024,UndergroundStorageTanks,WR,LANE TRANSIT DISTRICT,11881,"3500 E 17TH AVE Eugene, OR 97403",20-11881-2024-OPER,Field Citation,700,12689,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,11/10/20,1/9/21,2/1/21
2021-FC-6024,UndergroundStorageTanks,WR,LANE TRANSIT DISTRICT,11881,"3500 E 17TH AVE Eugene, OR 97403",20-11881-2024-OPER,Field Citation,700,12690,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,11/10/20,1/9/21,2/1/21
2021-FC-6027,UndergroundStorageTanks,WR,7 STAR CONVENIENCE STORE #5,205,"120 E ELLENDALE DALLAS, OR 97338",27-205-2024-OPER,Field Citation,1500,12705,I,340-150-0006 (3),Failure to have an operating certificate for each chamber or compartment of a multichambered or multicompartment UST,(A2) General Permit Requirements,11/16/20,12/30/20,NULL
2021-FC-6027,UndergroundStorageTanks,WR,7 STAR CONVENIENCE STORE #5,205,"120 E ELLENDALE DALLAS, OR 97338",27-205-2024-OPER,Field Citation,1500,12706,II,304-150-0210(2),Failure to have a trained UST System Operator for an UST facility or to provide emergency response information.,(A5a) General Permit Requirements,11/16/20,12/30/20,NULL
2021-FC-6027,UndergroundStorageTanks,WR,7 STAR CONVENIENCE STORE #5,205,"120 E ELLENDALE DALLAS, OR 97338",27-205-2024-OPER,Field Citation,1500,12707,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,11/16/20,12/30/20,NULL
2021-FC-6027,UndergroundStorageTanks,WR,7 STAR CONVENIENCE STORE #5,205,"120 E ELLENDALE DALLAS, OR 97338",27-205-2024-OPER,Field Citation,1500,12708,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,11/16/20,12/30/20,NULL
2021-FC-6027,UndergroundStorageTanks,WR,7 STAR CONVENIENCE STORE #5,205,"120 E ELLENDALE DALLAS, OR 97338",27-205-2024-OPER,Field Citation,1500,12709,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,11/16/20,12/30/20,NULL
2021-FC-6027,UndergroundStorageTanks,WR,7 STAR CONVENIENCE STORE #5,205,"120 E ELLENDALE DALLAS, OR 97338",27-205-2024-OPER,Field Citation,1500,12710,II,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,11/16/20,12/30/20,NULL
2021-FC-6028,UndergroundStorageTanks,WR,LOWELL CFN,7914,"44784 HWY 58 LOWELL, OR 97452",20-7914-2024-OPER,Field Citation,850,12712,II,340-150-0400(1)(b),Failure to have release detection equipment or method that is third party evaluated or approved by a national association.,(H2.4) Release Detection Pressure Piping - Non TCR,12/12/20,12/31/20,2/1/21
2021-FC-6028,UndergroundStorageTanks,WR,LOWELL CFN,7914,"44784 HWY 58 LOWELL, OR 97452",20-7914-2024-OPER,Field Citation,850,12713,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,12/12/20,12/31/20,2/1/21
2021-FC-6028,UndergroundStorageTanks,WR,LOWELL CFN,7914,"44784 HWY 58 LOWELL, OR 97452",20-7914-2024-OPER,Field Citation,850,12714,I,340-150-0310(9),Failure to inspect overfill equipment at least once every 3 years.,(C2c) Spill and Overfill Prevention-TCR,12/12/20,12/31/20,2/1/21
2021-FC-6028,UndergroundStorageTanks,WR,LOWELL CFN,7914,"44784 HWY 58 LOWELL, OR 97452",20-7914-2024-OPER,Field Citation,850,12715,I,340-150-0400(1)(c) 340-150-0400(2),"Failure to install, operate, maintain or calibrate RD equipment per manufacturer's instructions, including service checks for operability or running condition (i.e. device has been incorrectly installed, is defective, damaged, or may have been tamper",(G5)  General Release Detection - TCR,12/12/20,12/31/20,2/1/21
2021-FC-6281,UndergroundStorageTanks,WR,EZ TRIP  #1232,3579,"33380 Highway 34 SE Albany, OR 97322",22-3579-2024-OPER,Field Citation,150,13281,II,340-150-0160 (2),Allowing tank services to be performed by a person or company not licensed by the DEQ.,(A8a) General Permit Requirements,4/15/21,5/13/21,6/14/21
2021-FC-6281,UndergroundStorageTanks,WR,EZ TRIP  #1232,3579,"33380 SE HIGHWAY 34 & I-5 ALBANY, OR 97321",22-3579-2024-OPER,Field Citation,150,13281,II,340-150-0160 (2),Allowing tank services to be performed by a person or company not licensed by the DEQ.,(A8a) General Permit Requirements,4/15/21,5/13/21,6/14/21
2021-FC-6282,UndergroundStorageTanks,ALL,"HELLS CANYON, MAINT. SHOP & WAREHOUSE",4973,"49669 BROWNLEE OXBOW HWY OXBOW, OR 97840",1-4973-2020-OPER,Field Citation,150,13282,II,340-150-0160 (2),Allowing tank services to be performed by a person or company not licensed by the DEQ.,(A8a) General Permit Requirements,3/19/21,5/13/21,7/26/21
2021-FC-6400,UndergroundStorageTanks,NWR,KC'S MINI MART #4 AND GAS,10414,"6007 NE GLISAN PORTLAND, OR 97213",26-10414-2024-OPER,Field Citation,300,13495,II,340-150-0310(1),"Failure to repair or replace spill prevention device that is not properly maintained, is defective, is damaged or may have been tampered with in a manner that prevents proper operation.",(C1c) Spill and Overfill Prevention - TCR,6/15/21,7/8/21,7/26/21
2021-FC-6400,UndergroundStorageTanks,NWR,KC'S MINI MART #4 AND GAS,10414,"6007 NE GLISAN PORTLAND, OR 97213",26-10414-2024-OPER,Field Citation,300,13496,II,340-150-0310(2),"Failure to maintain operational overfill prevention equipment.  Failure to repair or replace overfill equipment that is defective, improperly installed, damaged or may have been tampered with in a manner that prevents proper operation.",(C2b) Spill and Overfill Prevention - TCR,6/15/21,7/8/21,7/26/21
2021-FC-6420,UndergroundStorageTanks,NWR,CLATSKANIE MOBIL,2925,"25 W COLUMBIA RIVER HWY CLATSKANIE, OR 97016",5-2925-2024-OPER,Field Citation,500,13522,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,6/30/21,7/13/21,10/13/21
2021-FC-6423,UndergroundStorageTanks,NWR,"XPO, INC-UPO2",4475,"10510 N VANCOUVER WAY PORTLAND, OR 97217-7549",26-4475-2023-OPER,Field Citation,150,13529,II,340-150-0410,Failure to perform line tightness test per manufacturer’s recommendations or applicable national code.,(H1.3) Release Detection Suction Piping - TCR,6/15/21,7/13/21,8/10/21
2021-FC-6438,UndergroundStorageTanks,NWR,UNITED PACIFIC  #5459,708,"2020 E BURNSIDE ST PORTLAND, OR 97214-1650",26-708-2024-OPER,Field Citation,300,13557,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,6/30/21,7/23/21,8/28/21
2021-FC-6439,UndergroundStorageTanks,NWR,UNITED PACIFIC  #5460,718,"425 NE BROADWAY ST PORTLAND, OR 97232-1112",26-718-2024-OPER,Field Citation,400,13530,II,340-150-0150 (1),Failure to post annual operating certificate in a conspicuous location so it could be readily viewed by a fuel distributor.,(A10) General Permit Requirements,6/30/21,7/23/21,8/28/21
2021-FC-6441,UndergroundStorageTanks,NWR,"BUD BELLAMY AND SON, INC",2470,"2053 SE 1ST ST GRESHAM, OR 97080",26-2470-2024-OPER,Field Citation,1100,13563,I,340-150-0325(2)(b),Failure to conduct the last two 3-year inspections/tests of corrosion protection system,(D5b) Corrosion Protection - TCR,6/15/21,7/26/21,8/2/21
2021-FC-6441,UndergroundStorageTanks,NWR,"BUD BELLAMY AND SON, INC",2470,"2053 SE 1ST ST GRESHAM, OR 97080",26-2470-2024-OPER,Field Citation,1100,13565,I,340-150-0465(3),Failure to use interstitial monitoring equipment to monitor UST or suction piping for a release at least every 30 days and/or failure to record results on a monthly basis.,(J8.5a) Interstitial - TCR,6/15/21,7/26/21,8/2/21
2021-FC-6441,UndergroundStorageTanks,NWR,"BUD BELLAMY AND SON, INC",2470,"2053 SE 1ST ST GRESHAM, OR 97080",26-2470-2024-OPER,Field Citation,1100,13566,I,340-150-0310(10),"Failure to complete initial overfill, spill prevention  or sump testing requirements by October 1, 2020",(C1f) Initial testing must be completed by 10/1/20,6/15/21,7/26/21,8/2/21
2021-FC-6442,UndergroundStorageTanks,NWR,PATRIOT FOOD AND FUEL,743,"12825 SW PACIFIC HWY TIGARD, OR 97223-5030",34-743-2024-OPER,Field Citation,900,13569,II,340-150-0310(1),"Failure to repair or replace spill prevention device that is not properly maintained, is defective, is damaged or may have been tampered with in a manner that prevents proper operation.",(C1c) Spill and Overfill Prevention - TCR,6/15/21,7/27/21,3/7/22
2021-FC-6442,UndergroundStorageTanks,NWR,PATRIOT FOOD AND FUEL,743,"12825 SW PACIFIC HWY TIGARD, OR 97223-5030",34-743-2024-OPER,Field Citation,900,13570,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,6/15/21,7/27/21,3/7/22
2021-FC-6442,UndergroundStorageTanks,NWR,PATRIOT FOOD AND FUEL,743,"12825 SW PACIFIC HWY TIGARD, OR 97223-5030",34-743-2024-OPER,Field Citation,900,13571,I,340-150-0400(1)(a) 340-150-0008(8),Failure to operate or maintain a method or combination of methods for release detection such that the method can detect a release from any portion of the UST system.,(G2) General Release Detection - TCR,6/15/21,7/27/21,3/7/22
2021-FC-6442,UndergroundStorageTanks,NWR,PATRIOT FOOD AND FUEL,743,"12825 SW PACIFIC HWY TIGARD, OR 97223-5030",34-743-2024-OPER,Field Citation,900,13572,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,6/15/21,7/27/21,3/7/22
